Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 16848, 61267, 16848, 61267
0, 1, 116848, 144897, 16848, 44897
0, 2, 216848, 231518, 16848, 31518
0, 3, 316848, 348003, 16848, 48003
0, 4, 416848, 442681, 16848, 42681
0, 5, 516848, 535328, 16848, 35328
0, 6, 616848, 653199, 16848, 53199
0, 7, 716848, 721261, 16848, 21261
0, 8, 816848, 849624, 16848, 49624
0, 9, 916848, 948003, 16848, 48003
0, 10, 1016848, 1042681, 16848, 42681
0, 11, 1116848, 1127509, 16848, 27509
0, 12, 1216848, 1255950, 16848, 55950
0, 13, 1316848, 1342525, 16848, 42525
0, 14, 1416848, 1424643, 16848, 24643
0, 15, 1516848, 1553389, 16848, 53389
0, 16, 1616848, 1655950, 16848, 55950
0, 17, 1716848, 1734973, 16848, 34973
0, 18, 1816848, 1853199, 16848, 53199
0, 19, 1916848, 1921261, 16848, 21261
0, 20, 2016848, 2061267, 16848, 61267
0, 21, 2116848, 2153199, 16848, 53199
0, 22, 2216848, 2221261, 16848, 21261
0, 23, 2316848, 2322881, 16848, 22881
0, 24, 2416848, 2455950, 16848, 55950
0, 25, 2516848, 2542681, 16848, 42681
0, 26, 2616848, 2635328, 16848, 35328
0, 27, 2716848, 2748003, 16848, 48003
0, 28, 2816848, 2842681, 16848, 42681
0, 29, 2916848, 2921261, 16848, 21261
0, 30, 3016848, 3056275, 16848, 56275
0, 31, 3116848, 3128231, 16848, 28231
0, 32, 3216848, 3242681, 16848, 42681
0, 33, 3316848, 3348003, 16848, 48003
0, 34, 3416848, 3421261, 16848, 21261
0, 35, 3516848, 3524643, 16848, 24643
0, 36, 3616848, 3655950, 16848, 55950
0, 37, 3716848, 3724981, 16848, 24981
0, 38, 3816848, 3831518, 16848, 31518
0, 39, 3916848, 3948003, 16848, 48003
0, 40, 4016848, 4061267, 16848, 61267
0, 41, 4116848, 4145573, 16848, 45573
0, 42, 4216848, 4253199, 16848, 53199
0, 43, 4316848, 4321261, 16848, 21261
0, 44, 4416848, 4442681, 16848, 42681
0, 45, 4516848, 4553389, 16848, 53389
0, 46, 4616848, 4631518, 16848, 31518
0, 47, 4716848, 4721261, 16848, 21261
0, 48, 4816848, 4855950, 16848, 55950
0, 49, 4916848, 4921261, 16848, 21261
0, 50, 5016848, 5042681, 16848, 42681
0, 51, 5116848, 5153035, 16848, 53035
0, 52, 5216848, 5242681, 16848, 42681
0, 53, 5316848, 5327699, 16848, 27699
0, 54, 5416848, 5453199, 16848, 53199
0, 55, 5516848, 5521261, 16848, 21261
0, 56, 5616848, 5642681, 16848, 42681
0, 57, 5716848, 5748003, 16848, 48003
0, 58, 5816848, 5822882, 16848, 22882
0, 59, 5916848, 5921261, 16848, 21261
1, 0, 17136, 73241, 17136, 73241
1, 1, 117136, 156310, 17136, 56310
1, 2, 217136, 231878, 17136, 31878
1, 3, 317136, 353559, 17136, 53559
1, 4, 417136, 452939, 17136, 52939
1, 5, 517136, 535688, 17136, 35688
1, 6, 617136, 653749, 17136, 53749
1, 7, 717136, 721621, 17136, 21621
1, 8, 817136, 856310, 17136, 56310
1, 9, 917136, 953559, 17136, 53559
1, 10, 1017136, 1052939, 17136, 52939
1, 11, 1117136, 1127869, 17136, 27869
1, 12, 1217136, 1256635, 17136, 56635
1, 13, 1317136, 1342682, 17136, 42682
1, 14, 1417136, 1425003, 17136, 25003
1, 15, 1517136, 1556635, 17136, 56635
1, 16, 1617136, 1661627, 17136, 61627
1, 17, 1717136, 1735333, 17136, 35333
1, 18, 1817136, 1853749, 17136, 53749
1, 19, 1917136, 1921621, 17136, 21621
1, 20, 2017136, 2073241, 17136, 73241
1, 21, 2117136, 2153749, 17136, 53749
